index,id,host_is_superhost,host_identity_verified,neighbourhood,neighbourhood_group_cleansed,latitude,longitude,accommodates,bed_type,price,cleaning_fee,guests_included,extra_people,review_scores_rating,instant_bookable,cancellation_policy,moderate,strict,private,size,stairless,luggage_dropoff,balcony,elevator,distance,loc
0,1944,0,1,Wedding,Mitte,52.54425,13.39749,1,1,21,0,1,10,82.0,0,moderate,1,0,0,28,0,0,0,0,4.633353630800324,Wedding (nh)
1,3176,0,1,Prenzlauer Berg,Pankow,52.535,13.41758,4,1,90,100,2,20,93.0,0,strict,0,1,1,68,0,0,0,0,3.695816990307805,Prenzlauer Berg (nh)
2,3309,0,0,Schöneberg,Tempelhof - Schöneberg,52.49885,13.34906,1,0,28,30,1,18,89.0,0,strict,0,1,0,26,0,1,0,0,3.7559058172700697,Schöneberg (nh)
3,6883,0,1,Friedrichshain,Friedrichshain-Kreuzberg,52.51171,13.454770000000002,2,1,125,39,1,0,99.0,0,moderate,1,0,1,63,0,0,0,1,3.565666192108697,Friedrichshain (nh)
4,7071,1,1,Prenzlauer Berg,Pankow,52.54316,13.41509,2,1,33,0,1,25,96.0,0,moderate,1,0,0,20,0,0,0,0,4.5504335145382315,Prenzlauer Berg (nh)
6,14325,0,0,Prenzlauer Berg,Pankow,52.54785,13.405560000000001,1,1,70,0,1,0,93.0,0,strict,0,1,1,37,0,0,0,0,5.012444595233654,Prenzlauer Berg (nh)
7,16644,0,0,Kreuzberg,Friedrichshain-Kreuzberg,52.50479,13.4351,5,1,90,50,2,20,94.0,0,strict,0,1,1,80,0,0,0,0,2.105407640736923,Kreuzberg (nh)
9,20858,0,0,Prenzlauer Berg,Pankow,52.53695,13.407620000000001,4,1,129,49,2,29,89.0,0,strict,0,1,1,100,0,0,1,1,3.8066997728853855,Prenzlauer Berg (nh)
13,23834,0,0,Kreuzberg,Friedrichshain-Kreuzberg,52.489709999999995,13.37975,4,1,65,50,1,0,90.0,0,strict,0,1,1,50,1,0,0,0,2.201155017206572,Kreuzberg (nh)
14,24569,0,0,Prenzlauer Berg,Pankow,52.53079,13.418079999999998,4,1,90,35,2,5,94.0,1,strict,0,1,1,150,0,0,0,1,3.253687078339404,Prenzlauer Berg (nh)
17,28156,0,0,Prenzlauer Berg,Pankow,52.54671999999999,13.405120000000002,1,1,70,0,1,0,92.0,0,strict,0,1,1,38,0,0,0,0,4.886334675576449,Prenzlauer Berg (nh)
18,29279,1,1,Prenzlauer Berg,Pankow,52.54179,13.423879999999999,4,1,65,80,2,0,96.0,0,strict,0,1,1,25,0,0,0,0,4.5380709979435965,Prenzlauer Berg (nh)
19,30295,1,1,Prenzlauer Berg,Pankow,52.54597,13.422360000000001,8,1,100,40,4,20,95.0,1,strict,0,1,1,100,0,0,0,1,4.95767947049514,Prenzlauer Berg (nh)
20,33043,0,1,Moabit,Mitte,52.52141999999999,13.357079999999998,4,1,62,30,2,8,89.0,1,strict,0,1,1,47,1,0,1,0,3.801456911518902,Moabit (nh)
21,35152,1,0,Mitte,Mitte,52.535059999999994,13.396989999999999,2,1,75,30,1,15,99.0,0,moderate,1,0,0,100,0,0,1,1,3.6221050248562907,Mitte (nh)
24,37836,0,1,Kreuzberg,Friedrichshain-Kreuzberg,52.49847,13.440129999999998,3,1,39,20,1,19,90.0,0,moderate,1,0,0,20,0,1,0,0,2.480874245047616,Kreuzberg (nh)
28,41217,0,0,Prenzlauer Berg,Pankow,52.53641,13.41231,2,1,43,0,1,13,94.0,0,moderate,1,0,0,25,0,0,0,0,3.779831807255546,Prenzlauer Berg (nh)
30,42742,0,1,Kreuzberg,Friedrichshain-Kreuzberg,52.496669999999995,13.440339999999999,3,1,36,20,1,19,89.0,0,flexible,0,0,0,35,0,0,0,0,2.5409235968642334,Kreuzberg (nh)
31,42809,1,1,Friedrichshain,Friedrichshain-Kreuzberg,52.511759999999995,13.45536,4,1,119,65,2,10,98.0,1,strict,0,1,1,77,0,1,0,0,3.605568872557136,Friedrichshain (nh)
32,44083,0,1,Alt-Treptow,Treptow - Köpenick,52.4904,13.44085,2,0,42,20,2,10,88.0,0,moderate,1,0,0,35,0,0,0,1,2.839162286450793,other
34,46172,1,1,Mitte,Mitte,52.538090000000004,13.40536,2,1,48,50,1,0,98.0,0,strict,0,1,1,44,0,1,0,1,3.927123867080137,Mitte (nh)
38,54952,0,1,Mitte,Mitte,52.523590000000006,13.387410000000001,2,1,52,20,1,10,93.0,0,strict,0,1,0,100,1,0,0,1,2.576972476249167,Mitte (nh)
40,56357,1,1,Prenzlauer Berg,Pankow,52.54251,13.417179999999998,2,1,33,0,1,25,96.0,0,moderate,1,0,0,22,0,0,0,0,4.504614888883911,Prenzlauer Berg (nh)
42,57209,0,0,Mitte,Mitte,52.53683,13.398970000000002,5,1,80,80,2,15,92.0,0,strict,0,1,1,67,0,0,1,0,3.8025048324849777,Mitte (nh)
45,62613,0,1,Kreuzberg,Friedrichshain-Kreuzberg,52.49729,13.422970000000001,2,0,85,30,1,10,91.0,0,strict,0,1,1,40,0,0,0,0,1.411439229526934,Kreuzberg (nh)
49,64590,1,1,Neukölln,Friedrichshain-Kreuzberg,52.494969999999995,13.42399,4,1,118,40,2,25,99.0,0,flexible,0,0,1,72,0,0,1,0,1.5982083535405596,Neukölln (nh)
52,72079,0,0,Charlottenburg,Charlottenburg-Wilm.,52.5078,13.318710000000001,2,1,80,60,2,20,94.0,1,moderate,1,0,1,46,1,0,0,1,5.81107204333822,Charlottenburg (nh)
58,82893,0,1,Mitte,Mitte,52.532,13.38285,2,1,75,30,1,0,92.0,0,flexible,0,0,1,40,0,1,0,0,3.55498215094498,Mitte (nh)
59,83183,1,1,Prenzlauer Berg,Pankow,52.53677,13.424470000000001,2,1,53,20,1,20,94.0,0,moderate,1,0,1,33,0,1,1,0,4.021358069171381,Prenzlauer Berg (nh)
60,83568,1,0,Prenzlauer Berg,Pankow,52.54485,13.41891,3,1,99,30,2,20,99.0,0,strict,0,1,1,85,0,0,1,1,4.783088497739113,Prenzlauer Berg (nh)
65,87549,0,1,Kreuzberg,Friedrichshain-Kreuzberg,52.496159999999996,13.373970000000002,2,1,47,25,1,10,95.0,1,strict,0,1,0,18,0,0,1,0,2.17279256953803,Kreuzberg (nh)
69,103602,0,1,Prenzlauer Berg,Pankow,52.539469999999994,13.41009,2,1,40,15,1,15,91.0,0,strict,0,1,0,120,0,0,0,0,4.099362480344857,Prenzlauer Berg (nh)
70,106331,1,0,Prenzlauer Berg,Pankow,52.5337,13.4367,3,1,82,50,2,5,95.0,1,moderate,1,0,1,55,0,0,0,0,4.08235928314275,Prenzlauer Berg (nh)
72,113298,0,0,Charlottenburg,Charlottenburg-Wilm.,52.5035,13.3218,3,1,70,30,2,12,79.0,1,strict,0,1,1,25,0,1,1,0,5.575906833804436,Charlottenburg (nh)
73,114763,1,0,Schöneberg,Tempelhof - Schöneberg,52.48805,13.35325,6,1,135,50,1,0,98.0,1,strict,0,1,1,150,1,1,0,0,3.816531213476114,Schöneberg (nh)
76,117649,0,0,Kreuzberg,Friedrichshain-Kreuzberg,52.500040000000006,13.44265,4,1,68,25,2,20,94.0,1,moderate,1,0,1,36,0,1,0,0,2.6224354802241963,Kreuzberg (nh)
77,127708,1,1,Mitte,Mitte,52.52455,13.40579,2,1,89,49,2,15,96.0,0,strict,0,1,1,35,0,1,0,0,2.4231979847348244,Mitte (nh)
79,135097,0,1,Schöneberg,Tempelhof - Schöneberg,52.500890000000005,13.34692,6,1,119,29,3,9,87.0,1,strict,0,1,1,80,1,0,0,0,3.8808583178347127,Schöneberg (nh)
81,139769,0,1,Mitte,Mitte,52.52811,13.39195,2,1,42,15,1,28,95.0,1,moderate,1,0,0,150,0,0,0,0,2.935444273984093,Mitte (nh)
82,143605,0,1,Neukölln,Neukölln,52.476780000000005,13.424370000000001,4,1,66,40,2,15,91.0,0,moderate,1,0,1,40,0,0,0,0,3.1982575296313716,Neukölln (nh)
