id,categories
1944,Park
1944,Karaoke Bar
1944,Gastropub
1944,Café
1944,Café
1944,Flea Market
1944,Farm
1944,Tunnel
1944,Forest
1944,Stadium
1944,Bakery
1944,Pedestrian Plaza
1944,Italian Restaurant
1944,Asian Restaurant
1944,Bakery
1944,Supermarket
1944,Playground
1944,Chinese Restaurant
1944,Lake
3176,Farmers Market
3176,Vietnamese Restaurant
3176,Park
3176,Cocktail Bar
3176,Historic Site
3176,Playground
3176,Bar
3176,Cosmetics Shop
3176,Korean Restaurant
3176,Wine Shop
3176,Ice Cream Shop
3176,Bookstore
3176,Bistro
3176,Breakfast Spot
3176,Russian Restaurant
3176,Plaza
3176,Furniture / Home Store
3176,Gourmet Shop
3176,Vegetarian / Vegan Restaurant
3176,Café
3176,Sushi Restaurant
3176,Breakfast Spot
3176,Deli / Bodega
3176,Breakfast Spot
3176,Austrian Restaurant
3176,Coffee Shop
3176,Vegetarian / Vegan Restaurant
3176,Convenience Store
3176,Israeli Restaurant
3176,Seafood Restaurant
3176,Falafel Restaurant
3176,Bakery
3176,Asian Restaurant
3176,Playground
3176,Bistro
3176,Bakery
3176,Israeli Restaurant
3176,Burger Joint
3176,Cocktail Bar
3176,Bakery
3176,Cocktail Bar
3176,Café
3176,Thai Restaurant
3176,Trattoria/Osteria
3176,Asian Restaurant
3176,Bar
3176,French Restaurant
3176,American Restaurant
3176,French Restaurant
3176,Beer Bar
3176,Empanada Restaurant
3176,Pub
3176,German Restaurant
3176,Coffee Shop
3176,Wine Bar
3176,Korean Restaurant
3176,Japanese Restaurant
3176,German Restaurant
3176,Chinese Restaurant
3176,Trattoria/Osteria
3176,Coffee Shop
3176,Ice Cream Shop
3176,Currywurst Joint
3176,Café
3176,Café
3176,Modern European Restaurant
3176,Spanish Restaurant
3176,Coffee Shop
3176,Coffee Shop
3176,Fondue Restaurant
3176,Himalayan Restaurant
3176,German Restaurant
3176,Street Food Gathering
3176,Café
3176,Vietnamese Restaurant
3176,Chinese Restaurant
3176,Park
3176,Vietnamese Restaurant
3176,Liquor Store
3176,Multiplex
3176,Korean Restaurant
3176,Gym / Fitness Center
3176,Gym / Fitness Center
3176,Bar
3309,Men's Store
3309,Cocktail Bar
3309,Café
3309,Men's Store
3309,Men's Store
3309,Hotel
3309,Gay Bar
3309,Adult Boutique
3309,Burger Joint
3309,Gay Bar
3309,Coffee Shop
3309,Bookstore
3309,Bar
3309,German Restaurant
3309,Vegetarian / Vegan Restaurant
3309,Austrian Restaurant
3309,Organic Grocery
3309,Korean Restaurant
3309,Cocktail Bar
3309,Fast Food Restaurant
3309,Breakfast Spot
3309,Plaza
3309,Greek Restaurant
3309,Italian Restaurant
3309,Coffee Shop
3309,Café
3309,Gay Bar
3309,Gay Bar
3309,Farmers Market
3309,Bakery
3309,Falafel Restaurant
3309,Men's Store
3309,Organic Grocery
3309,Gay Bar
3309,Hotel
3309,Falafel Restaurant
3309,Burrito Place
3309,Coffee Shop
3309,Trattoria/Osteria
3309,Hotel
3309,Coffee Shop
3309,Art Gallery
3309,Turkish Restaurant
3309,Gay Bar
3309,Thrift / Vintage Store
3309,Indian Restaurant
3309,Cocktail Bar
3309,Dive Bar
3309,Adult Boutique
3309,Fast Food Restaurant
3309,Falafel Restaurant
3309,Italian Restaurant
3309,Ice Cream Shop
3309,Hot Dog Joint
3309,Indian Restaurant
3309,Hotel
3309,Café
3309,Israeli Restaurant
3309,Hotel
3309,Turkish Restaurant
3309,Other Nightlife
3309,Thai Restaurant
3309,Doner Restaurant
3309,Bakery
3309,Thai Restaurant
3309,Bar
3309,Ice Cream Shop
3309,Cocktail Bar
3309,Bowling Alley
3309,Supermarket
3309,Persian Restaurant
3309,Turkish Restaurant
3309,Café
3309,Restaurant
6883,Bookstore
6883,Pub
6883,Middle Eastern Restaurant
6883,Record Shop
6883,Bagel Shop
6883,Gaming Cafe
6883,Wine Shop
6883,Middle Eastern Restaurant
6883,Café
6883,Café
6883,Bookstore
6883,Performing Arts Venue
6883,Café
6883,Italian Restaurant
6883,Bakery
6883,Middle Eastern Restaurant
6883,Ice Cream Shop
6883,Kumpir Restaurant
6883,Vegetarian / Vegan Restaurant
6883,Thai Restaurant
6883,Vegetarian / Vegan Restaurant
6883,Vegetarian / Vegan Restaurant
6883,Vegetarian / Vegan Restaurant
6883,Hot Dog Joint
6883,Bar
6883,Pizza Place
6883,Café
6883,Middle Eastern Restaurant
6883,Coffee Shop
6883,Thai Restaurant
6883,Bagel Shop
6883,Falafel Restaurant
6883,Korean Restaurant
6883,Ice Cream Shop
6883,Thai Restaurant
6883,Gourmet Shop
6883,Coffee Shop
6883,Asian Restaurant
6883,Bar
6883,Bar
6883,Café
6883,Cupcake Shop
6883,Farmers Market
6883,Thrift / Vintage Store
6883,Vegetarian / Vegan Restaurant
6883,Pizza Place
6883,Coffee Shop
6883,Café
6883,Falafel Restaurant
6883,Yoga Studio
6883,Japanese Restaurant
6883,Coffee Shop
6883,Cocktail Bar
6883,Russian Restaurant
6883,Bookstore
6883,Ramen Restaurant
6883,Café
6883,Sri Lankan Restaurant
6883,Doner Restaurant
6883,Doner Restaurant
6883,Burger Joint
6883,Trattoria/Osteria
6883,German Restaurant
6883,Dive Bar
6883,Vietnamese Restaurant
6883,Bar
6883,Gift Shop
6883,Coffee Shop
6883,Pub
6883,Wine Bar
6883,Plaza
6883,German Restaurant
6883,Café
6883,Indie Movie Theater
6883,Mediterranean Restaurant
6883,Burger Joint
6883,Café
6883,Pizza Place
6883,Nightclub
6883,Café
6883,Yoga Studio
6883,Tea Room
6883,Pizza Place
6883,Street Art
6883,Boutique
6883,Bagel Shop
6883,German Restaurant
6883,Vegetarian / Vegan Restaurant
6883,Gourmet Shop
6883,Tapas Restaurant
6883,Gym / Fitness Center
6883,Ice Cream Shop
6883,Italian Restaurant
6883,Climbing Gym
6883,Organic Grocery
6883,Bar
6883,Art Gallery
6883,Austrian Restaurant
6883,Thai Restaurant
6883,Café
7071,Cheese Shop
7071,Bar
7071,Vietnamese Restaurant
7071,Creperie
7071,Massage Studio
7071,Japanese Restaurant
7071,Candy Store
7071,Bakery
7071,Coffee Shop
7071,Ice Cream Shop
7071,Gourmet Shop
7071,Turkish Restaurant
7071,Bakery
7071,Southern / Soul Food Restaurant
7071,Pizza Place
7071,Vietnamese Restaurant
7071,Clothing Store
7071,Yoga Studio
7071,Jazz Club
7071,Art Gallery
7071,Café
7071,Bakery
7071,Bar
7071,German Restaurant
7071,Beer Store
7071,Wine Bar
7071,Greek Restaurant
7071,Plaza
7071,African Restaurant
7071,Breakfast Spot
7071,Bar
7071,Vietnamese Restaurant
7071,Bar
7071,Ramen Restaurant
7071,Cocktail Bar
7071,Japanese Restaurant
7071,Photography Studio
7071,Gastropub
7071,Italian Restaurant
7071,Doner Restaurant
7071,Korean Restaurant
7071,History Museum
7071,Hobby Shop
7071,French Restaurant
7071,Gourmet Shop
7071,Korean Restaurant
7071,Falafel Restaurant
7071,Hostel
7071,Bar
7071,Trattoria/Osteria
7071,Cosmetics Shop
7071,Café
7071,Burger Joint
7071,Dumpling Restaurant
7071,Café
7071,Falafel Restaurant
7071,Organic Grocery
7071,Bar
7071,Falafel Restaurant
7071,Mexican Restaurant
7071,Playground
7071,Ice Cream Shop
7071,Seafood Restaurant
7071,Café
7071,Bike Rental / Bike Share
7071,Boutique
7071,Bar
7071,Indian Restaurant
7071,Ice Cream Shop
7071,Bookstore
7071,Café
7071,Bar
7071,Sports Bar
7071,Bar
7071,Hawaiian Restaurant
7071,Seafood Restaurant
7071,Toy / Game Store
7071,Winery
7071,Sushi Restaurant
7071,Bar
7071,Dim Sum Restaurant
7071,Asian Restaurant
7071,Café
7071,Vietnamese Restaurant
7071,Italian Restaurant
7071,Health & Beauty Service
7071,Deli / Bodega
7071,Café
7071,Café
7071,Bar
7071,Doner Restaurant
7071,Vietnamese Restaurant
7071,Pool Hall
7071,Music Venue
7071,Italian Restaurant
7071,Coffee Shop
7071,Outdoor Supply Store
7071,Bakery
7071,Beer Garden
7071,Bookstore
14325,Vietnamese Restaurant
14325,Vietnamese Restaurant
14325,Burger Joint
14325,Wine Bar
14325,Sushi Restaurant
14325,Pub
14325,Bar
14325,Café
14325,Café
14325,Israeli Restaurant
14325,Coffee Shop
14325,Park
14325,Coffee Shop
14325,Japanese Restaurant
14325,Bar
14325,Coffee Shop
14325,Park
14325,Comfort Food Restaurant
14325,Theater
14325,Café
14325,Chinese Restaurant
14325,Caucasian Restaurant
14325,Café
14325,Tapas Restaurant
14325,Café
14325,Supermarket
14325,Grocery Store
14325,Farm
14325,Ice Cream Shop
14325,Vietnamese Restaurant
14325,Playground
14325,Tunnel
14325,Forest
14325,Supermarket
14325,Hotel
14325,Lake
14325,Playground
14325,Shipping Store
14325,Bakery
16644,French Restaurant
16644,Italian Restaurant
16644,Cocktail Bar
16644,Bar
16644,Ice Cream Shop
16644,BBQ Joint
16644,Food Court
16644,Trattoria/Osteria
16644,Bakery
