address,area,rooms,criteria,price
"Charlottenburg (Charlottenburg), Berlin","30,10 - 125,70 m²",nach Vereinbarung,,249.000 - 1.375.000 €
"Bayerische Straße 3, Wilmersdorf (Wilmersdorf), Berlin",75 m²,2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",665.000 €
"Suderoder Straße 15, Britz (Neukölln), Berlin","101,18 m²","3,5 Zi.3,5","['Provisionsfrei*', 'Balkon/Terrasse', '+1']",553.000 €
"Böckhstraße 26, Kreuzberg (Kreuzberg), Berlin",174 m²,3 Zi.3,"['Provisionsfrei*', 'Aufzug']",1.596.000 €
"Eisenacher Straße 18, Schöneberg (Schöneberg), Berlin","59,41 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",389.000 €
"Schönhauser Allee 55, Prenzlauer Berg (Prenzlauer Berg), Berlin","384,11 m²",5 Zi.5,"['Balkon/Terrasse', 'Einbauküche', '+1']",2.999.900 €
"Binzstr. 53, 53 A, Pankow (Pankow), Berlin",130 m²,"3,5 Zi.3,5",['Balkon/Terrasse'],539.500 €
"Charlottenburg (Charlottenburg), Berlin",100 m²,3 Zi.3,,859.000 €
"Wilmersdorf (Wilmersdorf), Berlin",120 m²,3 Zi.3,,900.000 €
"Goethestraße 59, Charlottenburg (Charlottenburg), Berlin",72 m²,2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",398.500 €
"Voltairestraße 11, Mitte (Mitte), Berlin","53,50 - 101,63 m²",Oktober 2020,,399.500 - 1.149.500 €
"Jahnstraße 78, Britz (Neukölln), Berlin","51,3 m²",2 Zi.2,"['Einbauküche', 'Keller']",230.000 €
"Friedenau (Schöneberg), Berlin","62,5 m²",2 Zi.2,['Balkon/Terrasse'],375.000 €
"Falckensteinstraße 44a, Kreuzberg (Kreuzberg), Berlin","57,45 m²",2 Zi.2,"['Einbauküche', 'Keller']",328.000 €
"Regenerstraße 59, Karlshorst (Lichtenberg), Berlin","74,00 - 129,00 m²",2021,,319.950 - 689.950 €
"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin","108,74 m²",3 Zi.3,['Balkon/Terrasse'],556.900 €
"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin","104,27 m²",3 Zi.3,['Keller'],468.200 €
"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin","39,85 m²",1 Zi.1,"['Balkon/Terrasse', 'Keller']",176.200 €
"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin","47,9 m²",2 Zi.2,['Balkon/Terrasse'],230.600 €
"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin","37,9 m²",1 Zi.1,"['Balkon/Terrasse', 'Keller']",179.100 €
"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin","68,29 m²",2 Zi.2,['Keller'],334.700 €
"Bochumer Straße 17, Tiergarten (Tiergarten), Berlin","118,33 m²",4 Zi.4,"['Balkon/Terrasse', 'Aufzug']",473.320 €
"Urbanstraße 36b, Kreuzberg (Kreuzberg), Berlin","30,05 m²",1 Zi.1,['Provisionsfrei*'],180.000 €
"Hönower Straße 4-7, Karlshorst (Lichtenberg), Berlin","56,00 - 129,00 m²",30.11.2021,,290.000 - 575.000 €
"Konstanzer Straße 58, Wilmersdorf (Wilmersdorf), Berlin","58,00 - 137,00 m²",Juli  2020,,361.000 - 1.280.000 €
"Pankow (Pankow), Berlin","51,00 - 124,00 m²",März 2021,,339.000 - 989.000 €
"Silbersteinstraße 45, Neukölln (Neukölln), Berlin","25,00 - 124,00 m²",31.12.2020,,153.900 - 708.600 €
"Zehlendorf (Zehlendorf), Berlin",90 m²,4 Zi.4,"['Balkon/Terrasse', 'Einbauküche', '+1']",375.000 €
