id,categories
0,Bakery
0,Portuguese Restaurant
0,Spanish Restaurant
0,Health & Beauty Service
0,Boutique
0,Bakery
0,Juice Bar
0,Italian Restaurant
0,Pastry Shop
0,Italian Restaurant
0,Hotel
0,Bakery
0,Watch Shop
0,Italian Restaurant
0,Clothing Store
0,Sushi Restaurant
0,Boutique
0,Plaza
0,Gourmet Shop
0,Dessert Shop
0,Sandwich Place
0,Wine Shop
0,Thai Restaurant
0,Vietnamese Restaurant
0,French Restaurant
0,Vietnamese Restaurant
0,Boutique
0,Boutique
0,Hotel
0,Boutique
0,Hotel
0,Sushi Restaurant
0,Bagel Shop
0,Snack Place
0,Breakfast Spot
0,Coffee Shop
0,Japanese Restaurant
0,Men's Store
0,Falafel Restaurant
0,Bar
0,Greek Restaurant
0,Italian Restaurant
0,Boutique
0,Wings Joint
0,Cocktail Bar
0,Bookstore
0,Hotel
0,Juice Bar
0,Greek Restaurant
0,Plaza
0,Pub
0,Italian Restaurant
0,Chinese Restaurant
0,Hotel
0,Plaza
0,Italian Restaurant
0,Hotel
0,Supermarket
0,German Restaurant
0,German Restaurant
0,Café
0,Hotel
0,Restaurant
0,Hotel
0,Hotel
0,Hotel
0,Diner
0,Vietnamese Restaurant
0,Hotel
0,Hotel
0,Bakery
0,Hotel
0,Hotel
0,Italian Restaurant
0,Lawyer
0,Chinese Restaurant
0,Café
1,Turkish Restaurant
1,Supermarket
1,Park
1,Bakery
1,Asian Restaurant
1,Italian Restaurant
1,Supermarket
1,Hotel
2,Men's Store
2,Café
2,Cocktail Bar
2,Men's Store
2,Breakfast Spot
2,Cocktail Bar
2,Men's Store
2,Chocolate Shop
2,Adult Boutique
2,Greek Restaurant
2,Burger Joint
2,Playground
2,Farmers Market
2,Bookstore
2,Plaza
2,Mediterranean Restaurant
2,Falafel Restaurant
2,Italian Restaurant
2,Café
2,Korean Restaurant
2,Austrian Restaurant
2,Café
2,Coffee Shop
2,Vegetarian / Vegan Restaurant
2,Organic Grocery
2,Hotel
2,Korean Restaurant
2,Cupcake Shop
2,Art Gallery
2,Italian Restaurant
2,Gay Bar
2,Vietnamese Restaurant
2,Cocktail Bar
2,Falafel Restaurant
2,Men's Store
2,Wine Shop
2,Trattoria/Osteria
2,Hot Dog Joint
2,Cocktail Bar
2,Café
2,Convenience Store
2,American Restaurant
2,Gay Bar
2,Coffee Shop
2,Café
2,German Restaurant
2,Persian Restaurant
2,Cocktail Bar
2,Burrito Place
2,Bar
2,Falafel Restaurant
2,Fast Food Restaurant
2,Dive Bar
2,Cocktail Bar
2,Italian Restaurant
2,Hobby Shop
2,Trattoria/Osteria
2,Coffee Shop
2,Coffee Shop
2,Pizza Place
2,Indian Restaurant
2,Breakfast Spot
2,German Restaurant
2,Indian Restaurant
2,Gay Bar
2,Gay Bar
2,Café
2,Thai Restaurant
2,Thai Restaurant
2,Indian Restaurant
2,Café
2,Turkish Restaurant
2,Bar
2,Adult Boutique
