address,area,rooms,criteria,price,Neighbourhood,longitude,latitude
"Bayerische Straße 3, Wilmersdorf (Wilmersdorf), Berlin",75.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",665000.0,Wilmersdorf,13.31415,52.49844
"Suderoder Straße 15, Britz (Neukölln), Berlin",101.0,3.5,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",553000.0,Neukölln,13.43299,52.46085
"Eisenacher Straße 18, Schöneberg (Schöneberg), Berlin",59.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",389000.0,Schöneberg,13.34948,52.49573
"Binzstr. 53, 53 A, Pankow (Pankow), Berlin",130.0,3.5,['Balkon/Terrasse'],539500.0,Pankow,13.41894,52.56375
"Charlottenburg (Charlottenburg), Berlin",100.0,3.0,,859000.0,Charlottenburg,13.29005,52.533
"Wilmersdorf (Wilmersdorf), Berlin",120.0,3.0,,900000.0,Wilmersdorf,13.3311,52.48665
"Goethestraße 59, Charlottenburg (Charlottenburg), Berlin",72.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",398500.0,Charlottenburg,13.31253,52.50871
"Jahnstraße 78, Britz (Neukölln), Berlin",51.0,2.0,"['Einbauküche', 'Keller']",230000.0,Neukölln,13.43688,52.46045
"Friedenau (Schöneberg), Berlin",62.0,2.0,['Balkon/Terrasse'],375000.0,Schöneberg,13.33741,52.46713
"Falckensteinstraße 44a, Kreuzberg (Kreuzberg), Berlin",57.0,2.0,"['Einbauküche', 'Keller']",328000.0,Kreuzberg,13.44426,52.50017
"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin",108.0,3.0,['Balkon/Terrasse'],556900.0,Friedrichshain,13.45141,52.5266
"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin",104.0,3.0,['Keller'],468200.0,Friedrichshain,13.45141,52.5266
