address,size,rooms,criteria,price,longitude,latitude,distance,district,neighborhood,id,host_identity_verified,instant_bookable,bed_type,private,luggage_dropoff,stairless,balcony,elevator,moderate,strict,loc,Restaurant,Bar,Café,Coffee Shop,Bakery,Hotel,Ice Cream Shop,Supermarket,Pizza Place,Pub,yearly_incomes_predicted
"Bayerische Straße 3, Wilmersdorf (Wilmersdorf), Berlin",75.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",665000.0,13.31415,52.49844,6.112563777749037,Charlottenburg-Wilm.,Wilmersdorf,0,1,1,1,1,1,0,1,0,0,1,Wilmersdorf (nh),25,4,2,1,4,14,0,1,0,1,33134.677
"Suderoder Straße 15, Britz (Neukölln), Berlin",101.0,3.5,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",553000.0,13.43299,52.46085,5.0544117692083175,Neukölln,Britz,1,1,1,1,1,1,0,1,0,0,1,other,3,0,0,0,1,1,0,2,0,0,34133.913
"Eisenacher Straße 18, Schöneberg (Schöneberg), Berlin",59.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",389000.0,13.349479999999998,52.49573,3.7841872554286082,Tempelhof - Schöneberg,Schöneberg,2,1,1,1,1,1,0,1,0,0,1,Schöneberg (nh),31,15,9,4,1,3,2,0,1,0,27159.212
"Binzstr. 53, 53 A, Pankow (Pankow), Berlin",130.0,3.5,['Balkon/Terrasse'],539500.0,13.41894,52.56375,6.852778916306799,Pankow,Pankow,3,1,1,1,1,1,0,1,0,0,1,other,2,0,0,0,2,0,0,4,0,0,43207.965
"Charlottenburg (Charlottenburg), Berlin",100.0,3.0,empty,859000.0,13.29005,52.533,8.421262398856884,Charlottenburg-Wilm.,Charlottenburg-Nord,4,1,1,1,1,1,0,0,0,0,1,other,0,0,0,0,0,0,0,0,0,0,25749.154
"Wilmersdorf (Wilmersdorf), Berlin",120.0,3.0,empty,900000.0,13.3311,52.48665,5.261911009021363,Charlottenburg-Wilm.,Wilmersdorf,5,1,1,1,1,1,0,0,0,0,1,Wilmersdorf (nh),10,0,0,1,4,3,0,3,0,0,39867.999
"Goethestraße 59, Charlottenburg (Charlottenburg), Berlin",72.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+1']",398500.0,13.312529999999999,52.50871,6.237369305927329,Charlottenburg-Wilm.,Charlottenburg,6,1,1,1,1,1,0,1,0,0,1,Charlottenburg (nh),33,3,5,3,1,2,0,2,0,0,31921.6
"Jahnstraße 78, Britz (Neukölln), Berlin",51.0,2.0,"['Einbauküche', 'Keller']",230000.0,13.436879999999999,52.46045,5.202066271707019,Neukölln,Britz,7,1,1,1,1,1,0,0,0,0,1,other,2,0,0,0,1,1,0,3,0,0,20888.697
"Friedenau (Schöneberg), Berlin",62.0,2.0,['Balkon/Terrasse'],375000.0,13.33741,52.467130000000004,6.012494501647886,Tempelhof - Schöneberg,Schöneberg,8,1,1,1,1,1,0,1,0,0,1,Schöneberg (nh),9,2,6,0,0,0,0,3,0,0,25128.987
"Falckensteinstraße 44a, Kreuzberg (Kreuzberg), Berlin",57.0,2.0,"['Einbauküche', 'Keller']",328000.0,13.44426,52.50017,2.7291272831923066,Friedrichshain-Kreuzberg,Kreuzberg,9,1,1,1,1,1,0,0,0,0,1,Kreuzberg (nh),22,11,12,3,5,1,3,0,3,2,29537.596
"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin",108.0,3.0,['Balkon/Terrasse'],556900.0,13.451410000000001,52.5266,4.151399467913147,Friedrichshain-Kreuzberg,Friedrichshain,10,1,1,1,1,1,0,1,0,0,1,Friedrichshain (nh),12,3,0,0,2,3,1,3,2,0,42394.47
"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin",104.0,3.0,['Keller'],468200.0,13.451410000000001,52.5266,4.151399467913147,Friedrichshain-Kreuzberg,Friedrichshain,11,1,1,1,1,1,0,0,0,0,1,Friedrichshain (nh),12,3,0,0,2,3,1,3,2,0,39681.134
"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin",39.0,1.0,"['Balkon/Terrasse', 'Keller']",176200.0,13.451410000000001,52.5266,4.151399467913147,Friedrichshain-Kreuzberg,Friedrichshain,12,1,1,1,1,1,0,1,0,0,1,Friedrichshain (nh),12,3,0,0,2,3,1,3,2,0,23859.991
"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin",47.0,2.0,['Balkon/Terrasse'],230600.0,13.451410000000001,52.5266,4.151399467913147,Friedrichshain-Kreuzberg,Friedrichshain,13,1,1,1,1,1,0,1,0,0,1,Friedrichshain (nh),12,3,0,0,2,3,1,3,2,0,26332.229
"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin",37.0,1.0,"['Balkon/Terrasse', 'Keller']",179100.0,13.451410000000001,52.5266,4.151399467913147,Friedrichshain-Kreuzberg,Friedrichshain,14,1,1,1,1,1,0,1,0,0,1,Friedrichshain (nh),12,3,0,0,2,3,1,3,2,0,23892.868
"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin",68.0,2.0,['Keller'],334700.0,13.451410000000001,52.5266,4.151399467913147,Friedrichshain-Kreuzberg,Friedrichshain,15,1,1,1,1,1,0,0,0,0,1,Friedrichshain (nh),12,3,0,0,2,3,1,3,2,0,35283.484
"Bochumer Straße 17, Tiergarten (Tiergarten), Berlin",118.0,4.0,"['Balkon/Terrasse', 'Aufzug']",473320.0,13.362260000000001,52.50955,2.934735654675798,Mitte,Tiergarten,16,1,1,1,1,1,0,1,1,0,1,Mitte,1,1,0,0,0,1,0,0,0,0,43056.787
"Urbanstraße 36b, Kreuzberg (Kreuzberg), Berlin",30.0,1.0,['Provisionsfrei*'],180000.0,13.414860000000001,52.49086,1.5101346963391198,Friedrichshain-Kreuzberg,Kreuzberg,17,1,1,1,1,1,0,0,0,0,1,Kreuzberg (nh),11,4,2,2,1,0,2,0,3,1,37338.437
